sel,crop,FAO_Name,FAO_Code,source,SPAM_Name,SPAM_Code,Monf_Name,GROUP,NAME,SCIENTNAME,FAMNAME,GMIN,GMAX,KTMP,TMIN,TOPMN,TOPMX,TMAX,RMIN,ROPMN,ROPMX,RMAX,LIG,LIGR,PP,PPMIN,PPMAX,TEXT,TEXTR,DEP,DEPR,DRA,DRAR,PHMIN,PHOPMN,PHOPMX,PHMAX,SAL,SALR,FER,FERR,LIMITS,RID,SID,FAO_Code2,FAO_Code3,food,fiber,fodder,forestry,industry,plant,comms,duration,RMIN_M,ROPMN_M,ROPMX_M,RMAX_M
1,wheat,Wheat,15,SPAM,wheat,whea,wheat,Cereals,"Wheat, common",Triticum aestivum L.,Gramineae,90,250,0,5,15,23,27,272,750,900,1600,1,1 3,L,12,14,M O,M H,M,S,W,W,5.5,6,7,8.5,L,M,H,M,U,219,219,0,0,1,0,0,0,0,1,,120,16,122,174,343
1,wheat,Wheat,15,SPAM,wheat,whea,wheat,Cereals,"Wheat, durum",Triticum durum Desf.,Gramineae,120,180,0,6,17,25,30,400,388,700,800,1,1 2,N,0,0,M H,M H,M,M,W,W E,5.5,6,7,8.5,l,l,H,M,,1620,1620,0,0,1,0,0,0,0,1,,150,67,71,156,200
1,rice,"Rice, paddy",27,SPAM,rice,rice,rice,Cereals,Rice paddy (Japonica),Oryza sativa L. s. japonica,Gramineae,80,180,0,10,20,30,36,1000,1500,2137,4000,1,1 3,N,0,0,W,W,M,S,I,I,4.5,5.5,7,9,L,L,H,M,,538,538,0,0,1,0,0,0,0,1,,105,188,310,557,1200
1,rice,"Rice, paddy",27,SPAM,rice,rice,rice,Cereals,Rice upland (Japonica),Oryza sativa L. s. japonica,Gramineae,80,130,0,10,20,30,36,750,1000,1700,3500,1,1 3,N,0,0,H,M H,M,S,W,I W,4.5,5.5,7,9,L,M,H,M,,539,538,0,0,1,0,0,0,0,1,,105,167,250,567,1400
1,rice,"Rice, paddy",27,SPAM,rice,rice,rice,Cereals,"Rice, paddy (Indica)",Oryza sativa L. s. indica,Gramineae,80,200,0,16,25,35,38,1000,1500,2137,4000,1,1 3,S,12,12,W,W,M,S,I,I,3.5,5,8,9,L,L,M,L,,766,538,0,0,1,0,0,0,0,1,,105,176,290,513,1091
1,rice,"Rice, paddy",27,SPAM,rice,rice,rice,Cereals,African rice,Oryza glaberrima Steud.,Gramineae,120,270,0,16,26,32,38,571,1000,1500,2700,1 2,1 3,S,12,12,M,W,M,S,I W,I W,4.3,5.5,7,9,l,l,M,L,,1070,1070,0,0,1,0,0,0,0,1,,150,76,143,250,491
1,rice,"Rice, paddy",27,SPAM,rice,rice,rice,Cereals,Rice upland (Indica),Oryza sativa L. s. indica,Gramineae,80,150,0,16,25,35,38,750,1000,1700,3500,1,1 3,S,12,12,H,M H,M,S,W,I W,3.5,5.5,7,9,L,M,M,L,,1337,538,0,0,1,0,0,0,0,1,,105,155,231,510,1235
1,maize,Maize,56,SPAM,maize,maiz,maize,Cereals,Maize,Zea mays L. s. mays,Gramineae,65,365,0,10,18,33,47,400,600,1289,2424,1,1 2,S,12,14,M O,W,M,S,W,W E,4.5,5,7,8.5,L,M,H,L,W U E,1636,1636,636,0,1,0,1,0,0,1,,90,49,78,193,393
1,sorghum,Sorghum,83,SPAM,sorghum,sorg,sorghum,Cereals,Sorghum (med. altitude),Sorghum bicolor (L.) Moench,Gramineae,90,300,0,10,24,35,40,286,500,1000,3000,1,1 2,N,0,0,M H,W,M,M,W,I E,5,6,7.299172211,8.5,L,M,M,L,T,542,542,637,0,1,0,0,0,0,1,,120,38,71,167,545
1,sorghum,Sorghum,83,SPAM,sorghum,sorg,sorghum,Cereals,Sorghum (low altitude),Sorghum bicolor (L.) Moench,Gramineae,90,300,0,8,27,35,40,286,500,1000,3000,1,1 2,S,12,12,M H,W,M,M,W,I E,5,6,7.299172211,8.5,L,M,M,L,T,767,542,637,0,1,0,0,0,0,1,,120,28,71,167,545
